mesh_code,est_all,emp_all,est_manufacturing,emp_manufacturing,est_ict,emp_ict,est_wholesale_retail,emp_wholesale_retail,est_finance,emp_finance,est_real_estate,emp_real_estate,est_professional,emp_professional,est_accommodation_food,emp_accommodation_food,est_medical_welfare,emp_medical_welfare,lat,lon,ward_code,ward_ja
533954164,51,333,4,8,1,39,10,70,0,0,6,13,1,3,1,10,3,36,35.764583333333334,139.584375,13120,練馬区
533954171,77,587,1,2,0,0,23,136,0,0,7,32,3,5,6,125,9,77,35.760416666666664,139.59062500000002,13120,練馬区
533954172,43,263,1,1,1,7,9,86,1,1,3,10,1,1,3,25,4,15,35.760416666666664,139.596875,13120,練馬区
533954173,86,785,1,2,1,4,14,95,0,0,9,23,7,26,3,18,17,170,35.764583333333334,139.59062500000002,13120,練馬区
533954174,97,873,6,20,1,1,24,184,1,5,2,4,1,2,5,37,9,254,35.764583333333334,139.596875,13120,練馬区
533954181,86,867,5,65,0,0,18,137,0,0,6,16,1,3,1,1,6,343,35.760416666666664,139.603125,13120,練馬区
533954182,91,693,6,12,0,0,16,69,0,0,9,25,3,4,9,117,9,110,35.760416666666664,139.609375,13120,練馬区
533954183,105,560,10,33,0,0,16,70,1,2,2,2,4,82,1,1,11,136,35.764583333333334,139.603125,13120,練馬区
533954184,120,857,15,63,0,0,16,399,1,10,6,16,3,17,12,36,8,72,35.764583333333334,139.609375,13120,練馬区
533954191,99,773,11,52,3,8,16,218,0,0,9,32,5,12,6,51,6,70,35.760416666666664,139.61562500000002,13120,練馬区
533954192,102,1174,6,119,5,12,13,164,0,0,13,57,5,10,9,109,12,201,35.760416666666664,139.62187500000002,13120,練馬区
533954193,115,963,8,28,0,0,18,113,2,30,12,25,3,8,6,63,19,377,35.764583333333334,139.61562500000002,13120,練馬区
533954194,130,1139,11,31,3,6,28,332,1,2,13,66,9,152,10,29,7,118,35.764583333333334,139.62187500000002,13120,練馬区
533954261,69,391,2,17,5,13,11,30,0,0,2,2,5,10,1,1,7,152,35.76875,139.578125,13120,練馬区
533954262,95,992,4,24,1,2,26,238,1,12,19,55,4,6,7,72,13,473,35.76875,139.584375,13120,練馬区
533954264,93,978,1,4,1,3,23,316,3,22,5,9,3,23,9,70,17,214,35.77291666666667,139.584375,13120,練馬区
533954271,84,795,5,30,3,6,17,109,1,3,4,11,4,7,12,35,12,474,35.76875,139.59062500000002,13120,練馬区
533954272,57,331,2,24,1,1,11,45,0,0,5,17,1,6,2,9,5,91,35.76875,139.596875,13120,練馬区
533954273,75,619,2,45,3,6,15,83,1,10,10,18,4,11,4,17,13,296,35.77291666666667,139.59062500000002,13120,練馬区
533954274,76,788,5,21,1,1,12,52,1,1,7,14,3,4,2,16,10,483,35.77291666666667,139.596875,13120,練馬区
533954281,61,333,9,52,0,0,8,51,1,2,3,21,3,7,4,14,6,62,35.76875,139.603125,13120,練馬区
533954282,72,316,4,5,1,8,7,17,0,0,8,24,3,13,2,14,4,27,35.76875,139.609375,13120,練馬区
533954291,42,266,5,18,0,0,7,74,2,18,3,19,0,0,1,1,3,37,35.76875,139.61562500000002,13120,練馬区
533954371,38,677,3,107,2,2,12,118,0,0,0,0,2,4,4,43,4,151,35.77708333333333,139.59062500000002,13120,練馬区
533954372,8,5206,1,4,0,0,1,3,0,0,0,0,0,0,1,36,0,0,35.77708333333333,139.596875,13120,練馬区
533955001,113,1205,11,88,4,5,18,182,0,0,6,13,4,8,12,244,10,200,35.75208333333333,139.628125,13120,練馬区
533955002,126,1040,3,14,4,26,22,215,1,3,13,29,11,35,7,36,25,414,35.75208333333333,139.634375,13120,練馬区
533955003,94,947,0,0,8,17,14,131,1,18,5,9,22,53,2,105,17,342,35.75625,139.628125,13120,練馬区
533955004,81,640,1,2,0,0,21,203,0,0,10,32,11,31,7,209,6,50,35.75625,139.634375,13120,練馬区
533955011,158,1250,5,32,1,2,35,414,3,20,14,45,6,30,12,94,37,411,35.75208333333333,139.640625,13120,練馬区
533955012,83,426,6,13,2,2,14,63,2,6,8,17,6,12,2,10,7,130,35.75208333333333,139.646875,13120,練馬区
533955013,92,636,11,26,3,3,17,70,0,0,6,15,5,39,5,15,6,112,35.75625,139.640625,13120,練馬区
533955014,99,949,5,9,3,29,22,321,1,8,9,24,3,7,8,99,15,227,35.75625,139.646875,13120,練馬区
533955021,84,443,4,10,6,7,13,88,0,0,8,19,6,13,1,9,8,115,35.75208333333333,139.65312500000002,13120,練馬区
533955022,68,296,3,5,4,9,10,45,1,2,14,46,3,4,5,35,5,52,35.75208333333333,139.659375,13120,練馬区
533955023,158,1630,3,15,2,8,31,494,3,61,18,95,11,43,20,226,28,318,35.75625,139.65312500000002,13120,練馬区
533955024,93,966,4,29,0,0,28,342,0,0,9,23,1,3,5,31,8,215,35.75625,139.659375,13120,練馬区
533955031,191,1055,5,13,4,15,42,205,2,2,26,76,10,71,18,144,21,228,35.75208333333333,139.665625,13120,練馬区
533955032,85,1431,12,107,4,16,11,363,0,0,14,34,4,73,1,11,7,80,35.75208333333333,139.671875,13120,練馬区
533955033,105,1378,9,79,5,8,22,136,0,0,11,34,8,23,5,45,14,288,35.75625,139.665625,13120,練馬区
533955034,45,262,5,28,1,5,7,21,0,0,4,10,1,1,4,11,5,34,35.75625,139.671875,13120,練馬区
533955041,87,904,10,60,2,5,22,215,1,2,11,34,2,12,1,7,4,107,35.75208333333333,139.67812500000002,13119,板橋区
533955042,149,1023,16,126,1,1,41,449,2,9,9,48,5,9,11,35,14,154,35.75208333333333,139.68437500000002,13119,板橋区
533955043,50,479,3,7,0,0,4,23,0,0,10,17,2,4,3,33,9,123,35.75625,139.67812500000002,13119,板橋区
533955044,138,1046,11,71,4,9,33,129,0,0,16,55,6,53,10,163,12,111,35.75625,139.68437500000002,13119,板橋区
533955051,177,1578,20,99,6,13,34,844,1,1,11,40,10,35,14,33,7,98,35.75208333333333,139.690625,13119,板橋区
533955052,169,1631,15,52,5,62,36,291,1,1,22,93,11,31,9,77,23,688,35.75208333333333,139.696875,13119,板橋区
533955053,272,1766,19,214,8,39,59,423,5,80,41,114,10,38,29,142,25,250,35.75625,139.690625,13119,板橋区
533955054,345,2035,10,30,5,11,100,733,7,111,44,142,6,13,53,247,47,365,35.75625,139.696875,13119,板橋区
533955061,129,3994,10,61,4,15,36,318,1,6,5,17,10,23,9,105,16,3000,35.75208333333333,139.703125,13119,板橋区
533955062,471,6704,28,144,5,12,97,929,5,47,59,141,53,336,63,438,47,858,35.75208333333333,139.709375,13119,板橋区
533955063,169,827,14,55,3,4,34,170,0,0,18,40,7,22,10,26,21,228,35.75625,139.703125,13119,板橋区
533955064,203,1499,7,15,6,15,51,550,3,8,17,55,4,10,23,121,26,247,35.75625,139.709375,13119,板橋区
533955071,173,1129,12,92,2,3,31,136,0,0,31,63,4,34,16,79,15,198,35.75208333333333,139.71562500000002,13119,板橋区
533955072,84,1872,10,47,1,1,14,101,0,0,11,36,8,40,3,68,14,962,35.75208333333333,139.721875,13119,板橋区
533955073,75,777,6,69,7,18,14,114,0,0,12,118,8,70,8,61,9,149,35.75625,139.71562500000002,13119,板橋区
533955074,61,3037,2,19,2,2,6,63,0,0,8,19,5,29,6,70,7,51,35.75625,139.721875,13117,北区
533955081,63,515,8,75,1,7,12,192,0,0,11,25,1,1,5,10,6,111,35.75208333333333,139.728125,13117,北区
533955082,231,3867,4,31,3,12,42,386,8,90,26,76,12,42,44,286,28,444,35.75208333333333,139.734375,13117,北区
533955083,86,3481,9,43,3,21,14,64,1,3,10,25,7,22,3,13,14,167,35.75625,139.728125,13117,北区
533955084,260,3205,11,68,2,13,55,485,8,118,24,94,19,164,24,319,29,610,35.75625,139.734375,13117,北区
533955091,136,1683,6,61,4,28,29,273,1,16,21,118,3,231,30,349,10,170,35.75208333333333,139.74062500000002,13117,北区
533955092,240,2701,23,303,4,334,66,590,2,9,25,73,6,250,17,55,31,410,35.75208333333333,139.74687500000002,13117,北区
533955093,418,5440,15,495,14,686,93,1051,20,739,37,129,34,525,70,459,37,290,35.75625,139.74062500000002,13117,北区
533955094,73,734,11,35,0,0,13,91,0,0,6,10,0,0,5,24,11,191,35.75625,139.74687500000002,13117,北区
533955101,214,4792,2,8,7,46,94,1696,4,54,6,41,8,35,31,616,22,1141,35.760416666666664,139.628125,13120,練馬区
533955102,140,1140,3,5,0,0,21,175,2,15,12,19,8,56,7,24,32,411,35.760416666666664,139.634375,13120,練馬区
533955103,38,394,0,0,0,0,5,77,0,0,0,0,2,9,1,13,9,99,35.764583333333334,139.628125,13120,練馬区
533955104,60,810,3,14,2,2,14,154,0,0,4,8,2,5,4,40,18,377,35.764583333333334,139.634375,13120,練馬区
