mesh_code,ward_code,ward_ja,lat,lon,est_total,emp_total,est_retail,emp_retail,est_restaurant,emp_restaurant
533926623,13111,大田区,35.55625,139.77812500000002,9,250,1,0,1,6
533926624,13111,大田区,35.55625,139.784375,10,481,2,22,0,0
533926631,13111,大田区,35.55208333333333,139.790625,37,998,11,95,14,249
533926701,13111,大田区,35.56041666666666,139.753125,57,782,1,8,0,0
533926721,13111,大田区,35.56041666666666,139.77812500000002,17,1128,0,0,0,0
533926722,13111,大田区,35.56041666666666,139.784375,4,151,0,0,0,0
533926801,13111,大田区,35.56875,139.753125,1,0,0,0,0,0
533926802,13111,大田区,35.56875,139.759375,37,1109,1,3,0,0
533926803,13111,大田区,35.57291666666667,139.753125,27,885,0,0,0,0
533926804,13111,大田区,35.57291666666667,139.759375,16,645,0,0,0,0
533926811,13111,大田区,35.56875,139.765625,103,1998,0,0,0,0
533926812,13111,大田区,35.56875,139.771875,3,29,0,0,0,0
533926813,13111,大田区,35.57291666666667,139.765625,77,1402,4,66,1,4
533926814,13111,大田区,35.57291666666667,139.771875,9,169,0,0,0,0
533926903,13111,大田区,35.581250000000004,139.753125,63,1324,1,1,1,2
533926904,13111,大田区,35.581250000000004,139.759375,188,3035,7,173,0,0
533926913,13111,大田区,35.581250000000004,139.765625,87,529,10,34,13,55
533926914,13111,大田区,35.581250000000004,139.771875,19,691,2,33,0,0
533926921,13111,大田区,35.577083333333334,139.77812500000002,12,216,0,0,0,0
533926923,13111,大田区,35.581250000000004,139.77812500000002,78,1390,0,0,0,0
533926924,13111,大田区,35.581250000000004,139.784375,39,930,1,36,0,0
533934393,13112,世田谷区,35.614583333333336,139.61562500000002,1,2,0,0,0,0
533934394,13112,世田谷区,35.614583333333336,139.62187500000002,100,658,10,60,8,40
533934472,13112,世田谷区,35.61875,139.596875,7,53,1,2,0,0
533934473,13112,世田谷区,35.62291666666667,139.59062500000002,60,281,5,17,1,9
533934474,13112,世田谷区,35.62291666666667,139.596875,75,1034,1,1,0,0
533934481,13112,世田谷区,35.61875,139.603125,21,181,0,0,0,0
533934482,13112,世田谷区,35.61875,139.609375,61,479,7,26,4,12
533934483,13112,世田谷区,35.62291666666667,139.603125,77,427,5,11,3,7
533934484,13112,世田谷区,35.62291666666667,139.609375,85,816,13,126,5,51
533934491,13112,世田谷区,35.61875,139.61562500000002,102,916,16,124,0,0
533934492,13112,世田谷区,35.61875,139.62187500000002,66,1525,5,53,4,51
533934493,13112,世田谷区,35.62291666666667,139.61562500000002,43,440,6,33,0,0
533934494,13112,世田谷区,35.62291666666667,139.62187500000002,21,327,0,0,2,17
533934572,13112,世田谷区,35.62708333333333,139.596875,57,303,14,102,2,3
533934574,13112,世田谷区,35.63125,139.596875,37,463,8,207,2,2
533934581,13112,世田谷区,35.62708333333333,139.603125,58,552,8,60,2,4
533934582,13112,世田谷区,35.62708333333333,139.609375,27,237,3,6,0,0
533934583,13112,世田谷区,35.63125,139.603125,73,951,17,329,3,126
533934584,13112,世田谷区,35.63125,139.609375,27,276,4,42,1,9
533934591,13112,世田谷区,35.62708333333333,139.61562500000002,51,410,4,7,1,3
533934592,13112,世田谷区,35.62708333333333,139.62187500000002,29,147,0,0,2,6
533934593,13112,世田谷区,35.63125,139.61562500000002,7,149,0,0,1,7
533934594,13112,世田谷区,35.63125,139.62187500000002,39,719,1,22,3,35
533934671,13112,世田谷区,35.635416666666664,139.59062500000002,187,1730,43,495,16,241
533934672,13112,世田谷区,35.635416666666664,139.596875,61,768,9,94,0,0
533934673,13112,世田谷区,35.639583333333334,139.59062500000002,31,780,2,2,2,13
533934674,13112,世田谷区,35.639583333333334,139.596875,417,4499,98,1130,51,755
533934681,13112,世田谷区,35.635416666666664,139.603125,55,889,5,32,2,19
533934682,13112,世田谷区,35.635416666666664,139.609375,97,1111,11,166,12,29
533934683,13112,世田谷区,35.639583333333334,139.603125,152,1427,14,189,12,83
533934684,13112,世田谷区,35.639583333333334,139.609375,163,819,34,219,13,45
533934691,13112,世田谷区,35.635416666666664,139.61562500000002,76,1361,13,102,3,51
533934692,13112,世田谷区,35.635416666666664,139.62187500000002,109,1457,21,370,2,5
533934693,13112,世田谷区,35.639583333333334,139.61562500000002,69,331,8,58,2,7
533934694,13112,世田谷区,35.639583333333334,139.62187500000002,71,823,21,292,1,3
533934771,13112,世田谷区,35.64375,139.59062500000002,22,79,2,5,0,0
533934772,13112,世田谷区,35.64375,139.596875,79,456,11,30,4,24
533934774,13112,世田谷区,35.64791666666667,139.596875,53,723,8,72,1,6
533934781,13112,世田谷区,35.64375,139.603125,72,1820,14,83,2,37
533934782,13112,世田谷区,35.64375,139.609375,290,2206,61,603,72,571
533934783,13112,世田谷区,35.64791666666667,139.603125,35,189,1,1,0,0
533934784,13112,世田谷区,35.64791666666667,139.609375,103,588,26,178,7,18
533934791,13112,世田谷区,35.64375,139.61562500000002,84,1283,12,312,1,2
533934792,13112,世田谷区,35.64375,139.62187500000002,83,546,14,34,3,14
533934793,13112,世田谷区,35.64791666666667,139.61562500000002,62,351,3,10,3,72
533934794,13112,世田谷区,35.64791666666667,139.62187500000002,390,3288,90,748,78,529
533934872,13112,世田谷区,35.65208333333334,139.596875,34,624,3,135,1,38
533934873,13112,世田谷区,35.65625000000001,139.59062500000002,110,964,11,100,10,78
533934874,13112,世田谷区,35.65625000000001,139.596875,45,387,3,81,0,0
533934881,13112,世田谷区,35.65208333333334,139.603125,30,167,2,4,0,0
533934882,13112,世田谷区,35.65208333333334,139.609375,80,674,13,236,5,40
533934883,13112,世田谷区,35.65625000000001,139.603125,60,432,8,104,2,28
533934884,13112,世田谷区,35.65625000000001,139.609375,89,887,11,192,2,4
533934891,13112,世田谷区,35.65208333333334,139.61562500000002,99,1744,16,123,3,11
533934892,13112,世田谷区,35.65208333333334,139.62187500000002,47,575,6,21,1,4
533934893,13112,世田谷区,35.65625000000001,139.61562500000002,56,992,7,156,3,110
533934894,13112,世田谷区,35.65625000000001,139.62187500000002,94,1120,11,371,4,29
533934971,13112,世田谷区,35.66041666666667,139.59062500000002,86,557,16,63,10,93
533934972,13112,世田谷区,35.66041666666667,139.596875,27,281,2,4,0,0
533934973,13112,世田谷区,35.66458333333334,139.59062500000002,77,913,15,137,2,91
533934974,13112,世田谷区,35.66458333333334,139.596875,40,325,8,31,2,5
533934981,13112,世田谷区,35.66041666666667,139.603125,49,310,8,58,0,0
533934982,13112,世田谷区,35.66041666666667,139.609375,81,1149,11,177,1,7
533934983,13112,世田谷区,35.66458333333334,139.603125,179,987,37,163,15,47
533934984,13112,世田谷区,35.66458333333334,139.609375,49,816,1,3,2,44
533934991,13112,世田谷区,35.66041666666667,139.61562500000002,58,1260,5,56,3,20
533934992,13112,世田谷区,35.66041666666667,139.62187500000002,89,1260,8,81,1,1
533934993,13112,世田谷区,35.66458333333334,139.61562500000002,65,433,9,25,1,1
533934994,13112,世田谷区,35.66458333333334,139.62187500000002,30,639,4,7,0,0
533935032,13111,大田区,35.58541666666667,139.671875,77,401,13,75,10,104
533935033,13111,大田区,35.58958333333334,139.665625,42,172,2,4,2,27
533935034,13111,大田区,35.58958333333334,139.671875,98,689,18,154,6,37
533935041,13111,大田区,35.58541666666667,139.67812500000002,88,475,11,50,2,7
533935042,13111,大田区,35.58541666666667,139.68437500000002,182,1386,35,577,18,143
533935043,13111,大田区,35.58958333333334,139.67812500000002,238,2445,45,509,30,167
533935044,13111,大田区,35.58958333333334,139.68437500000002,110,624,14,106,7,19
533935051,13111,大田区,35.58541666666667,139.690625,71,625,4,23,2,2
533935052,13111,大田区,35.58541666666667,139.696875,173,2281,14,408,2,5
533935053,13111,大田区,35.58958333333334,139.690625,57,290,6,21,2,3
533935054,13111,大田区,35.58958333333334,139.696875,168,1226,29,188,16,54
533935061,13111,大田区,35.58541666666667,139.703125,181,1700,32,356,18,87
533935062,13111,大田区,35.58541666666667,139.709375,132,774,19,138,15,38
533935063,13111,大田区,35.58958333333334,139.703125,109,700,6,40,2,10
533935064,13111,大田区,35.58958333333334,139.709375,138,1107,22,162,6,40
533935071,13111,大田区,35.58541666666667,139.71562500000002,54,315,7,87,0,0
533935072,13111,大田区,35.58541666666667,139.721875,158,898,34,163,4,12
533935073,13111,大田区,35.58958333333334,139.71562500000002,84,549,13,76,1,2
533935074,13111,大田区,35.58958333333334,139.721875,118,569,12,63,8,33
533935081,13111,大田区,35.58541666666667,139.728125,834,7037,81,455,190,1032
533935082,13111,大田区,35.58541666666667,139.734375,351,6754,48,966,30,337
533935083,13111,大田区,35.58958333333334,139.728125,843,19133,163,2102,136,1511
533935084,13109,品川区,35.58958333333334,139.734375,474,16934,39,427,53,485
533935091,13111,大田区,35.58541666666667,139.74062500000002,82,3477,5,223,9,168
533935092,13111,大田区,35.58541666666667,139.74687500000002,96,1966,4,109,0,0
533935093,13109,品川区,35.58958333333334,139.74062500000002,5,37,2,16,1,13
533935094,13111,大田区,35.58958333333334,139.74687500000002,1,1,0,0,0,0
533935114,13112,世田谷区,35.59791666666667,139.646875,49,717,8,94,0,0
533935121,13112,世田谷区,35.59375,139.65312500000002,28,366,3,28,1,8
533935122,13111,大田区,35.59375,139.659375,45,202,2,7,2,5
533935123,13112,世田谷区,35.59791666666667,139.65312500000002,87,1426,10,52,5,41
533935124,13111,大田区,35.59791666666667,139.659375,60,238,1,1,1,3
533935131,13111,大田区,35.59375,139.665625,42,181,2,5,1,10
533935132,13111,大田区,35.59375,139.671875,99,608,15,60,10,31
533935133,13111,大田区,35.59791666666667,139.665625,156,1417,43,498,13,145
533935134,13112,世田谷区,35.59791666666667,139.671875,142,802,24,96,8,50
533935141,13112,世田谷区,35.59375,139.67812500000002,133,2672,17,101,11,65
533935142,13111,大田区,35.59375,139.68437500000002,192,1334,41,243,13,89
533935143,13112,世田谷区,35.59791666666667,139.67812500000002,60,372,0,0,4,8
533935144,13111,大田区,35.59791666666667,139.68437500000002,164,1129,25,204,14,31
533935151,13111,大田区,35.59375,139.690625,93,1609,13,92,6,16
533935152,13111,大田区,35.59375,139.696875,117,960,14,240,3,43
533935153,13111,大田区,35.59791666666667,139.690625,170,877,27,261,18,55
533935154,13111,大田区,35.59791666666667,139.696875,60,357,3,8,3,21
533935161,13111,大田区,35.59375,139.703125,124,1168,8,200,3,37
533935162,13111,大田区,35.59375,139.709375,131,1037,19,113,3,21
533935163,13111,大田区,35.59791666666667,139.703125,129,3389,8,224,4,65
533935164,13111,大田区,35.59791666666667,139.709375,161,1325,17,203,16,109
533935171,13111,大田区,35.59375,139.71562500000002,107,1074,14,362,6,17
533935172,13111,大田区,35.59375,139.721875,157,719,29,130,10,21
533935173,13109,品川区,35.59791666666667,139.71562500000002,186,851,15,58,4,10
533935174,13109,品川区,35.59791666666667,139.721875,153,805,16,95,5,7
533935181,13111,大田区,35.59375,139.728125,116,611,11,52,11,65
533935182,13109,品川区,35.59375,139.734375,283,3444,14,78,16,197
533935183,13109,品川区,35.59791666666667,139.728125,148,1128,20,132,7,15
533935184,13109,品川区,35.59791666666667,139.734375,149,876,24,154,12,35
